"","admit","gre","gpa","rank"
"3",1,800,4,"1"
"6",1,760,3,"2"
"9",1,540,3.39,"3"
"12",0,440,3.22,"1"
"15",1,700,4,"1"
"18",0,360,2.56,"3"
"21",0,500,3.17,"3"
"24",0,680,3.19,"4"
"27",1,620,3.61,"1"
"30",0,520,3.29,"1"
"33",0,600,3.4,"3"
"36",0,400,3.05,"2"
"39",1,500,3.13,"2"
"42",1,580,3.32,"2"
"45",0,700,2.94,"2"
"48",0,500,2.97,"4"
"51",0,640,3.86,"3"
"54",1,680,3.27,"2"
"57",0,560,3.19,"3"
"60",0,600,2.82,"4"
"63",0,640,3.67,"3"
"66",0,600,3.59,"2"
"69",0,580,3.69,"1"
"72",0,300,2.92,"4"
"75",0,720,3.45,"4"
"78",1,800,4,"3"
"81",0,700,2.9,"4"
"84",0,380,2.91,"4"
"87",0,600,3.32,"2"
"90",1,660,4,"2"
"93",0,800,3.9,"2"
"96",0,660,3.33,"2"
"99",0,700,2.88,"2"
"102",0,580,3.57,"3"
"105",1,660,3.95,"2"
"108",0,480,3.13,"2"
"111",0,680,3.08,"4"
"114",0,600,3.22,"1"
"117",1,440,3.45,"2"
"120",0,340,2.92,"3"
"123",0,520,2.85,"3"
"126",0,540,3.38,"4"
"129",0,540,3.19,"2"
"132",0,640,2.79,"2"
"135",0,560,2.95,"2"
"138",0,700,4,"3"
"141",0,640,3.93,"2"
"144",0,580,3.4,"3"
"147",0,480,3.4,"2"
"150",0,740,3.31,"1"
"153",1,640,3.94,"2"
"156",1,580,2.86,"4"
"159",0,660,3.49,"2"
"162",0,640,3.5,"2"
"165",0,580,3.3,"2"
"168",0,720,3.77,"3"
"171",0,400,3.51,"3"
"174",1,800,3.43,"2"
"177",0,520,2.62,"2"
"180",0,300,3.01,"3"
"183",0,700,4,"2"
"186",0,800,3.6,"2"
"189",0,560,3.07,"2"
"192",0,800,3.54,"3"
"195",1,600,3.47,"2"
"198",1,400,3.23,"4"
"201",0,800,3.31,"3"
"204",0,420,3.92,"4"
"207",0,740,3.54,"1"
"210",0,580,3.5,"2"
"213",0,460,2.87,"2"
"216",1,660,2.91,"3"
"219",0,460,2.98,"1"
"222",0,680,3.99,"3"
"225",0,800,2.9,"2"
"228",0,540,3.02,"4"
"231",0,580,3.29,"4"
"234",0,420,2.67,"3"
"237",1,660,3.49,"2"
"240",0,700,3.45,"3"
"243",1,680,2.96,"3"
"246",0,800,3.91,"3"
"249",0,680,3.64,"3"
"252",0,620,3.21,"4"
"255",1,740,3.52,"4"
"258",1,620,3.95,"3"
"261",0,680,3.11,"2"
"264",1,620,3.95,"3"
"267",0,560,3.24,"4"
"270",0,500,2.81,"3"
"273",1,680,3.67,"2"
"276",1,600,2.98,"2"
"279",1,680,3,"4"
"282",0,360,3.27,"3"
"285",1,440,3.39,"2"
"288",1,660,3.7,"4"
"291",1,620,3.45,"2"
"294",0,800,3.97,"1"
"297",0,560,3.16,"1"
"300",0,720,3.4,"3"
"303",1,400,3.15,"2"
"306",0,580,3.46,"4"
"309",0,540,3.13,"2"
"312",0,660,3.67,"2"
"315",0,540,3.46,"4"
"318",1,780,3.63,"4"
"321",0,460,3.14,"3"
"324",0,420,2.69,"2"
"327",0,680,3.31,"2"
"330",0,500,2.93,"4"
"333",0,420,2.96,"1"
"336",1,620,3.71,"1"
"339",0,540,3.2,"1"
"342",1,560,2.65,"3"
"345",0,520,3.35,"3"
"348",0,580,3.8,"2"
"351",1,780,4,"2"
"354",0,700,3.52,"2"
"357",0,700,3.27,"2"
"360",0,720,3.94,"3"
"363",0,680,3.14,"2"
"366",0,480,2.78,"3"
"369",0,580,4,"1"
"372",1,680,3.76,"3"
"375",0,560,3.78,"2"
"378",1,800,4,"2"
"381",0,700,3.65,"2"
"384",0,660,4,"1"
"387",1,740,3.86,"2"
"390",0,640,3.51,"2"
"393",1,600,3.38,"3"
"396",0,620,4,"2"
"399",0,700,3.65,"2"
